iter	Passed	Remaining
0	3	3943
1	8	4458
2	13	4585
3	17	4397
4	21	4221
5	25	4266
6	30	4285
7	34	4299
8	37	4143
9	42	4172
10	47	4229
11	50	4176
12	56	4307
13	62	4387
14	66	4350
15	70	4358
16	76	4421
17	80	4398
18	85	4411
19	90	4446
20	96	4485
21	100	4465
22	105	4491
23	111	4538
24	115	4497
25	120	4510
26	125	4523
27	128	4448
28	132	4421
29	137	4441
30	142	4459
31	147	4454
32	152	4457
33	157	4470
34	161	4462
35	166	4459
36	171	4474
37	176	4480
38	180	4459
39	186	4467
40	191	4470
41	195	4448
42	199	4446
43	204	4449
44	209	4452
45	213	4434
46	218	4440
47	222	4411
48	226	4402
49	231	4392
50	236	4398
51	240	4376
52	243	4355
53	248	4359
54	253	4363
55	258	4355
56	263	4356
57	268	4363
58	274	4370
59	278	4361
60	284	4372
61	289	4380
62	293	4358
63	297	4348
64	301	4335
65	306	4332
66	309	4315
67	315	4317
68	319	4314
69	324	4311
70	330	4318
71	335	4317
72	339	4308
73	343	4299
74	347	4284
75	351	4276
76	357	4280
77	362	4287
78	367	4281
79	371	4274
80	376	4275
81	381	4275
82	387	4286
83	391	4264
84	395	4262
85	401	4263
86	407	4273
87	413	4280
88	418	4284
89	424	4290
90	428	4284
91	434	4288
92	439	4288
93	444	4282
94	449	4281
95	454	4280
96	459	4274
97	464	4278
98	468	4265
99	472	4249
100	475	4234
101	478	4210
102	483	4208
103	487	4197
104	493	4205
105	498	4204
106	504	4208
107	510	4212
108	515	4214
109	519	4202
110	523	4196
111	529	4197
112	534	4193
113	539	4193
114	543	4184
115	547	4173
116	551	4163
117	556	4162
118	561	4160
119	566	4155
120	570	4147
121	575	4144
122	579	4134
123	583	4119
124	587	4112
125	590	4098
126	595	4092
127	599	4086
128	604	4080
129	608	4073
130	613	4071
131	617	4061
132	622	4058
133	625	4040
134	630	4038
135	633	4026
136	637	4016
137	641	4005
138	646	4002
139	649	3991
140	653	3980
141	657	3973
142	662	3969
143	666	3960
144	668	3944
145	673	3941
146	678	3939
147	682	3930
148	687	3928
149	692	3925
150	696	3917
151	699	3905
152	704	3901
153	709	3898
154	713	3888
155	718	3884
156	719	3861
157	724	3859
158	728	3852
159	730	3833
160	735	3830
161	736	3811
162	741	3809
163	744	3793
164	747	3781
165	751	3777
166	756	3775
167	761	3769
168	762	3750
169	767	3747
170	769	3730
171	773	3725
172	777	3716
173	782	3713
174	787	3712
175	789	3697
176	793	3687
177	797	3683
178	802	3681
179	807	3678
180	809	3664
181	814	3660
182	815	3642
183	820	3637
184	824	3634
185	828	3626
186	833	3623
187	838	3621
188	842	3614
189	847	3611
190	849	3598
191	854	3597
192	858	3587
193	862	3583
194	867	3580
195	868	3564
196	872	3557
197	876	3551
198	881	3548
199	886	3544
200	889	3535
201	893	3530
202	898	3526
203	902	3523
204	906	3515
205	909	3506
206	914	3503
207	919	3500
208	923	3493
209	925	3479
210	928	3471
211	933	3468
212	936	3461
213	940	3455
214	945	3452
215	950	3448
216	953	3442
217	958	3438
218	961	3430
219	966	3427
220	971	3422
221	972	3409
222	977	3407
223	982	3404
224	985	3394
225	990	3390
226	994	3388
227	999	3385
228	1002	3375
229	1006	3370
230	1011	3368
231	1014	3357
232	1018	3351
233	1020	3341
234	1025	3338
235	1030	3336
236	1034	3331
237	1039	3327
238	1044	3324
239	1047	3315
240	1051	3310
241	1054	3301
242	1058	3297
243	1063	3294
244	1067	3288
245	1069	3278
246	1071	3267
247	1073	3256
248	1078	3252
249	1082	3247
250	1086	3242
251	1091	3241
252	1096	3238
253	1101	3233
254	1106	3232
255	1111	3229
256	1115	3225
257	1119	3220
258	1124	3217
259	1130	3216
260	1134	3211
261	1139	3209
262	1144	3206
263	1146	3197
264	1150	3192
265	1155	3188
266	1160	3185
267	1165	3184
268	1171	3182
269	1175	3177
270	1179	3172
271	1183	3168
272	1187	3163
273	1192	3158
274	1195	3152
275	1199	3146
276	1204	3144
277	1209	3142
278	1213	3136
279	1218	3132
280	1222	3128
281	1226	3123
282	1230	3118
283	1235	3114
284	1239	3109
285	1244	3106
286	1248	3102
287	1253	3098
288	1258	3096
289	1262	3091
290	1265	3083
291	1270	3080
292	1274	3075
293	1279	3072
294	1284	3069
295	1289	3067
296	1295	3065
297	1299	3061
298	1304	3059
299	1310	3057
300	1314	3053
301	1325	3064
302	1344	3092
303	1349	3090
304	1355	3087
305	1359	3084
306	1363	3078
307	1369	3075
308	1373	3070
309	1377	3065
310	1382	3062
311	1387	3058
312	1391	3053
313	1394	3047
314	1399	3042
315	1403	3038
316	1407	3032
317	1411	3027
318	1416	3023
319	1420	3018
320	1424	3012
321	1428	3007
322	1432	3002
323	1437	2998
324	1440	2992
325	1444	2986
326	1449	2983
327	1454	2979
328	1457	2972
329	1461	2967
330	1466	2963
331	1469	2956
332	1473	2951
333	1478	2947
334	1483	2945
335	1488	2940
336	1493	2937
337	1497	2933
338	1501	2927
339	1505	2922
340	1508	2915
341	1512	2909
342	1516	2904
343	1519	2897
344	1522	2890
345	1525	2883
346	1529	2877
347	1533	2872
348	1537	2868
349	1541	2862
350	1545	2858
351	1550	2854
352	1553	2848
353	1558	2843
354	1561	2837
355	1566	2833
356	1570	2828
357	1574	2823
358	1578	2818
359	1583	2814
360	1586	2809
