URL,Ignored (Yes/No),Tag status
www.avito.ma/ar/سلا/عقار/شقة_للرهن,No,Tagged
www.avito.ma/fr/casablanca/appartements/شقة_للكراء_شقة_للكراء--à_vendre,No,Not tagged
www.avito.ma/fr/ad/edit/74213162/2,No,Not tagged
www.avito.ma/adminapp/stores/4171/details,No,Not tagged
www.avito.ma/fr/maroc/cuisine_évolutive--à_vendre,No,Not tagged
www.avito.ma/fr/rabat/sports_et_loisirs/rameur--à_vendre,No,Not tagged
www.avito.ma/fr/el_jadida/pièces_et_accessoires_véhicules/غطاء_سيارة--à_vendre,No,Not tagged
www.avito.ma/fr/maroc/ordinateurs_portables/acer_expertboock--à_vendre,No,Not tagged
www.avito.ma/ar/العرائش/عقارات_للبيع-للبيع,No,Not tagged
www.avito.ma/fr/maroc/meubles_et_décoration/table--à_vendre,No,Not tagged
www.avito.ma/fr/autre_secteur/chaussures/Des_bouttines_menilli_made_in_Spain_plusieur_model_25380877.htm,No,Not tagged
www.avito.ma/fr/maroc/hueawi_p50_pro_256_gb--à_vendre,No,Not tagged
www.avito.ma/auto/neuf/volkswagen/tiguan/,No,Not tagged
www.avito.ma/ar/الدار_البيضاء/حي_الحسني/برطما_شقة/chambre--للبيع,No,Not tagged
www.avito.ma/fr/maroc/appartement_jnan_tisser--à_vendre,No,Not tagged
www.avito.ma/fr/maroc/superduke--à_vendre,No,Not tagged
www.avito.ma/fr/belvédère/matériels_professionnels/DTF_Complet_ثمن_الجملة_عروض_منخفضة_54079632.htm,No,Not tagged
www.avito.ma/fr/maroc/boite_a_gants--à_vendre,No,Not tagged
www.avito.ma/fr/nador/maisons_et_villas-à_vendre,No,Not tagged
www.avito.ma/adminapp/stores/3235/details,No,Not tagged
www.avito.ma/fr/temara/appartements/nassim--à_louer,No,Not tagged
www.avito.ma/adminapp/stores/2456/details,No,Not tagged
www.avito.ma/fr/fès/véhicules-à_vendre,No,Not tagged
www.avito.ma/fr/kénitra/locations_de_vacances-location_de_vacances,No,Not tagged
www.avito.ma/fr/maroc/body_kit_svr_2021--à_vendre,No,Not tagged
www.avito.ma/adminapp/stores/1238/details,No,Not tagged
www.avito.ma/adminapp/stores/5800/details,No,Not tagged
www.avito.ma/adminapp/stores/5799/details,No,Not tagged
www.avito.ma/adminapp/stores/1973/details,No,Not tagged
www.avito.ma/fr/maroc/beaucejour--à_vendre,No,Not tagged
www.avito.ma/adminapp/stores/6589/details,No,Not tagged
www.avito.ma/adminapp/stores/4761/details,No,Not tagged
www.avito.ma/auto/neuf/land-rover/defender/90-station-wagon/,No,Not tagged
www.avito.ma/auto/neuf/hyundai/i10/,No,Not tagged
www.avito.ma/fr/maroc/شنطة_الدراجة_الهوائية--à_vendre,No,Not tagged
www.avito.ma/fr/maroc/voitures/nikoncoolpixs9400--à_vendre,No,Not tagged
www.avito.ma/fr/maroc/canon_elph360--à_vendre,No,Not tagged
www.avito.ma/ar/مراكش/حي_إزدهار/عقارات_للكراء-ﺕﺄﺠﻳﺭ,No,Not tagged
www.avito.ma/ar/فاس/meubles_et_décoration-à_vendre,No,Not tagged
www.avito.ma/fr/maroc/منزل_للكراأ_تطوان--à_vendre,No,Not tagged
www.avito.ma/auto/neuf/mercedes-benz/sls/,No,Not tagged
www.avito.ma/fr/maroc/peugut_407--à_vendre,No,Not tagged
www.avito.ma/fr/maroc/vêtements_toni--à_vendre,No,Not tagged
www.avito.ma/fr/casablanca/encg--à_vendre,No,Not tagged
www.avito.ma/fr/casablanca/electorménager_et_vaisselle/samsung--à_vendre,No,Not tagged
www.avito.ma/fr/maroc/parchok_audi_a4--à_vendre,No,Not tagged
www.avito.ma/ar/حي_الرياض/سيارات_مستعملة/Fiat_500_pack_sport_2022_54772568.htm,No,Not tagged
www.avito.ma/vi/55244724.htm,No,Not tagged
www.avito.ma/fr/ksar_el-kebir/à_vendre,No,Not tagged
www.avito.ma/fr/maroc/instruments_demusique,No,Not tagged
www.avito.ma/fr/maroc/abs_seat_leon_2012--à_vendre,No,Not tagged
www.avito.ma/fr/maroc/voitures..pick_up--à_vendre,No,Not tagged
www.avito.ma/sp/renault/12,No,Not tagged
www.avito.ma/fr/casablanca/voitures_d_occasion/ford_titanium--à_vendre,No,Not tagged
www.avito.ma/ar/حي_الغولف/الأثاث_والديكور/غرفة_نوم_كاملا__53578497.htm,No,Not tagged
www.avito.ma/fr/maroc/voitures/chevrolet_aveo_i5--à_vendre,No,Not tagged
www.avito.ma/fr/les_princesses/appartements/studio_neuf_moderne_à_louer_54699580.htm,No,Not tagged
www.avito.ma/fr/rabat/meubles_et_décoration-à_vendre,No,Not tagged
www.avito.ma/adminapp/stores/144/details,No,Not tagged
www.avito.ma/ar/المغرب/بياس_موطور--للبيع,No,Not tagged
www.avito.ma/fr/maroc/skoda_oktavia_2018_automatique--à_vendre,No,Not tagged
www.avito.ma/fr/maroc/mercidis_cla_c180--à_vendre,No,Not tagged
www.avito.ma/fr/maroc/بلايستيشن_3,No,Not tagged
www.avito.ma/ar/maroc/à_vendre,No,Not tagged
www.avito.ma/fr/agdal/voitures_d'occasion/Mercedes_Benz_Classe_C_220d_2024_54351145.htm,No,Not tagged
www.avito.ma/fr/tétouan/immobilier,No,Not tagged
www.avito.ma/fr/hay_moulay_rachid/animaux/Chien_chiwawa_croisée_teckel__54750399.htm,No,Not tagged
www.avito.ma/fr/maroc/pièces_et_accessoires_véhicules/bmw_x4--à_vendre,No,Not tagged
www.avito.ma/fr/maroc/motos/honda_cf_100_cc--à_vendre,No,Not tagged
www.avito.ma/fr/maroc/optique_xadv--à_vendre,No,Not tagged
www.avito.ma/fr/safi/meubles_et_décoration-à_vendre,No,Not tagged
www.avito.ma/adminapp/stores/5925/details,No,Not tagged
www.avito.ma/ar/المغرب/أقفاص_الارانب--للبيع,No,Not tagged
www.avito.ma/adminapp/stores/6547/details,No,Not tagged
www.avito.ma/fr/maroc/ventes_immobilieres/anfa--à_vendre,No,Not tagged
www.avito.ma/fr/maroc/appartements/appartement_meublé_a_louer_hay_riad_rabat--à_vendre,No,Not tagged
www.avito.ma/fr/maroc/motos/hyosung_250cc--à_vendre,No,Not tagged
www.avito.ma/fr/safi/latitude_5490--à_vendre,No,Not tagged
www.avito.ma/vi/55101236.htm,No,Not tagged
www.avito.ma/fr/tanger/bureaux_et_plateaux,No,Not tagged
www.avito.ma/auto/neuf/porsche/,No,Not tagged
www.avito.ma/notify-UBPCoached,No,Not tagged
www.avito.ma/auto/neuf/iveco/,No,Not tagged
www.avito.ma/adminapp/stores/5416/details,No,Not tagged
www.avito.ma/fr/essaouira/magasins_et_commerces,No,Not tagged
www.avito.ma/fr/al_hoceima/table_salle--à_vendre,No,Not tagged
www.avito.ma/fr/marrakech/locations_de_vacances/location_appartement--à_louer,No,Not tagged
www.avito.ma/fr/casablanca/meubles_et_décoration/chambre_a_coucher--à_vendre,No,Not tagged
www.avito.ma/fr/temara/camions/isuzu__52097788.htm,No,Not tagged
www.avito.ma/fr/maroc/maroc_liberia--à_vendre,No,Not tagged
www2.avito.ma/payment/vas/choose/ad/37625721,No,Not tagged
www.avito.ma/fr/maroc/beneli_cross--à_vendre,No,Not tagged
www.avito.ma/fr/hassan/equipements_pour_enfant_et_bébé/kg0_a_25kg_siege_auto__54544102.htm,No,Not tagged
www.avito.ma/fr/tanger/de_la_plage/locations_de_vacances-à_louer,No,Not tagged
www.avito.ma/fr/aïn_chock/meubles_et_décoration/Lit_coffre__a_Casablanca__49166106.htm,No,Not tagged
www.avito.ma/fr/autre_secteur/meubles_et_décoration/Salon_sur_mezour_50721862.htm,No,Not tagged
www.avito.ma/fr/branes_1/voitures_d'occasion/Volkswagen_Caddy_Diesel_Automatique_2020_à_Tanger_54743485.htm,No,Not tagged
www.avito.ma/fr/bouskoura/appartements/bel_Appartement_125m²_en_Vente_à_Bouskoura_50309670.htm,No,Not tagged
www.avito.ma/ar/المغرب/معدات_مهنية/نيسان_كاشف--للبيع,No,Not tagged
www.avito.ma/fr/maroc/motos/gs_110--à_vendre,No,Not tagged
www.avito.ma/fr/maroc/honeywell_eda51--à_vendre,No,Not tagged
www.avito.ma/auto/neuf/seat/leon/,No,Not tagged
www.avito.ma/fr/maroc/salle_a_manger_4_chaises,No,Not tagged
www.avito.ma/fr/maroc/informatique_et_multimedia/s20_ultra--à_vendre,No,Not tagged
m.avito.ma/ad,No,Not tagged
www.avito.ma/fr/marrakech/route_de_fes/maisons_et_villas-à_vendre,No,Not tagged
www.avito.ma/fr/errachidia/maisons_et_villas-à_vendre,No,Not tagged
www.avito.ma/fr/hay_mohammadi/voitures_d'occasion/Ford_Fiesta_Diesel_Manuelle_2020_à_Casablanca_53925539.htm,No,Not tagged
www.avito.ma/sp/toyota/yaris,No,Not tagged
www.avito.ma/sp/renault/clio,No,Not tagged
www.avito.ma/auto/neuf/fiat/,No,Not tagged
www.avito.ma/fr/maroc/appartement_à_vendre_almaz--à_vendre,No,Not tagged
www.avito.ma/ar/أكادير/برطما_شقة/الحي_المحمدي,No,Not tagged
www.avito.ma/fr/agadir/montres_et_bijoux/montres_pour_hommes--à_vendre,No,Not tagged
www.avito.ma/fr/maroc/ventes_immobilieres/ain_aouda--à_vendre,No,Not tagged
www.avito.ma/fr/casablanca/oulfa/femme_de_menage_nounou_chauffeurs,No,Not tagged
www.avito.ma/vi/55234219.htm,No,Not tagged
www.avito.ma/adminapp/stores/6344/details,No,Not tagged
www.avito.ma/fr/maroc/voitures_d_occasion/safi--à_vendre,No,Not tagged
www.avito.ma/fr/ain_chock/appartements/شقة_عين_الشق_حي_ياسمينة_49250638.htm,No,Not tagged
www.avito.ma/fr/maroc/locations_de_vacances/tetouan--location_de_vacances,No,Not tagged
www.avito.ma/fr/meknès/appartements,No,Not tagged
www.avito.ma/fr/guelmim/maisons_et_villas-à_vendre,No,Not tagged
www.avito.ma/fr/agdal/montres_et_bijoux/Montre_deluxe_SWATCH_IRONY_AG_2021_ORIGINAL_49104976.htm,No,Not tagged
immoneuf.avito.ma/fr,No,Not tagged
www.avito.ma/fr/taroudant/maisons_et_villas-à_vendre,No,Not tagged
www.avito.ma/fr/maroc/gestion_des_réseaux_sociaux,No,Not tagged
www.avito.ma/fr/autre_secteur/services/TOP_Premium_iptv_4K_UHD_HD_Chaînes_Stables_Vod_41377224.htm,No,Not tagged
www.avito.ma/vi/54147392.htm,No,Not tagged
www.avito.ma/sp/bmw/serie-4,No,Not tagged
www.avito.ma/fr/saad-auto,No,Not tagged
www.avito.ma/fr/ad/edit/74074541,No,Not tagged
www.avito.ma/fr/maroc/مكينة_مثلاجة--à_vendre,No,Not tagged
www.avito.ma/fr/hassan/tablettes/iPad_9th_Generation_256GB_battery_100__54792337.htm,No,Not tagged
www.avito.ma/fr/salé/animaux/chat--à_vendre,No,Not tagged
www.avito.ma/fr/salé/bettana/appartements-à_louer,No,Not tagged
www.avito.ma/fr/ain_sebaa/matériel_médical/Tensiomètre_SPENGLER__54978740.htm,No,Not tagged
www.avito.ma/fr/salé/locations_immobilieres-à_louer,No,Not tagged
www.avito.ma/auto/neuf/ford/kuga/1.5-tdci-120-trend-plus-4x2/,No,Not tagged
www.avito.ma/fr/tiznit/,No,Not tagged
www.avito.ma/vi/55219054.htm,No,Not tagged
